Time_stamp,User_id,Id_wisata,Rating,Nama_wisata,Genre,Rating_total
1/5/2022 20:45,Lala,1,1,pantai losari,alam,72
1/5/2022 20:45,Lala,2,1,benteng rotterdam,prasejarah,68.2
1/5/2022 20:45,Lala,3,1,malino,alam,70.8
1/5/2022 20:45,Lala,4,1,taman nasional bantimurung,alam,73.4
1/5/2022 20:45,Lala,5,1,pantai galesong,alam,69
1/5/2022 20:45,Lala,6,1,wisata londa,budaya,71
1/5/2022 20:45,Lala,7,1,museum ne'gandeng,budaya,75
1/5/2022 20:45,Lala,8,1,tanjung bira,alam,77.4
1/5/2022 20:45,Lala,9,1,masjid 99 kubah,religi,76.2
1/5/2022 20:45,Lala,10,1,benteng somba opu,prasejarah,68.6
1/5/2022 20:53,Afrian,1,1,pantai losari,alam,72
1/5/2022 20:53,Afrian,2,2,benteng rotterdam,prasejarah,68.2
1/5/2022 20:53,Afrian,3,1,malino,alam,70.8
1/5/2022 20:53,Afrian,4,2,taman nasional bantimurung,alam,73.4
1/5/2022 20:53,Afrian,5,2,pantai galesong,alam,69
1/5/2022 20:53,Afrian,6,1,wisata londa,budaya,71
1/5/2022 20:53,Afrian,7,1,museum ne'gandeng,budaya,75
1/5/2022 20:53,Afrian,8,1,tanjung bira,alam,77.4
1/5/2022 20:53,Afrian,9,1,masjid 99 kubah,religi,76.2
1/5/2022 20:53,Afrian,10,1,benteng somba opu,prasejarah,68.6
1/5/2022 20:53,Badril,1,1,pantai losari,alam,72
1/5/2022 20:53,Badril,2,2,benteng rotterdam,prasejarah,68.2
1/5/2022 20:53,Badril,3,2,malino,alam,70.8
1/5/2022 20:53,Badril,4,2,taman nasional bantimurung,alam,73.4
1/5/2022 20:53,Badril,5,2,pantai galesong,alam,69
1/5/2022 20:53,Badril,6,2,wisata londa,budaya,71
1/5/2022 20:53,Badril,7,1,museum ne'gandeng,budaya,75
1/5/2022 20:53,Badril,8,1,tanjung bira,alam,77.4
1/5/2022 20:53,Badril,9,2,masjid 99 kubah,religi,76.2
1/5/2022 20:53,Badril,10,2,benteng somba opu,prasejarah,68.6
1/5/2022 20:53,bocil,1,2,pantai losari,alam,72
1/5/2022 20:53,bocil,2,2,benteng rotterdam,prasejarah,68.2
1/5/2022 20:53,bocil,3,2,malino,alam,70.8
1/5/2022 20:53,bocil,4,3,taman nasional bantimurung,alam,73.4
1/5/2022 20:53,bocil,5,2,pantai galesong,alam,69
1/5/2022 20:53,bocil,6,2,wisata londa,budaya,71
1/5/2022 20:53,bocil,7,2,museum ne'gandeng,budaya,75
1/5/2022 20:53,bocil,8,1,tanjung bira,alam,77.4
1/5/2022 20:53,bocil,9,2,masjid 99 kubah,religi,76.2
1/5/2022 20:53,bocil,10,2,benteng somba opu,prasejarah,68.6
1/5/2022 20:57,Amanda Rozi Kurnia,1,2,pantai losari,alam,72
1/5/2022 20:57,Amanda Rozi Kurnia,2,3,benteng rotterdam,prasejarah,68.2
